sent;sentcorrect;level
Durch Merkmale wie die Erwähnung des Märchens und der natürlichen Landschaft, sowie die feste Form ist das Gedicht ganz klar der Romantik zuzuordnen.;Durch Merkmale wie die Erwähnung des Märchens und der natürlichen Landschaft, sowie durch die feste Form ist das Gedicht ganz klar der Romantik zuzuordnen.;1
Ein Ort wo es zu Verbrechen kommt, wo man sich fürchtet.;Ein Ort, wo es zu Verbrechen kommt, wo man sich fürchtet.;0
Inhaltlich geht es in dem Gedicht um die Hexe Lorelei und ein Mann, der nicht weiter benannt wird, welche ein Gespräch im Wald führen, bei dem zu Beginn der Mann der Hexe Hilfe anbietet, da er denkt, sie habe sich verlaufen.;Inhaltlich geht es in dem Gedicht um die Hexe Lorelei und einen Mann, der nicht weiter benannt wird, welche ein Gespräch im Wald führen, bei dem zu Beginn der Mann der Hexe Hilfe anbietet, da er denkt, sie habe sich verlaufen.;1
Inhaltlich geht es in dem Gedicht um die Hexe Lorelei und einen Mann, der nicht weiter benannt wird, welche ein Gespräch im Wald führen, bei dem zu Beginn der Mann der Hexe Hilfe anbietet, da er denk, sie habe sich verlaufen.;Inhaltlich geht es in dem Gedicht um die Hexe Lorelei und einen Mann, der nicht weiter benannt wird, welche ein Gespräch im Wald führen, bei dem zu Beginn der Mann der Hexe Hilfe anbietet, da er denkt, sie habe sich verlaufen.;0
Für die Kunstwelt Eichendorff ist von der Nutzung des Waldbildes geprägt.;Die Kunstwelt von Eichendorff ist von der Nutzung des Waldbildes geprägt.;2
Die Kunstwelt von Eichendorff ist geprägt von der Nutzung des Waldbildes.;Die Kunstwelt von Eichendorff ist von der Nutzung des Waldbildes geprägt.;0
Es handelt von einem Schiffer der seine Augen nicht von einer Frau nehmen kann, welche auf dem Felsen sitzt und er dadurch einen Schiffsbruch erleidet.;Es handelt von einem Schiffer, der seine Augen nicht von einer Frau nehmen kann, welche auf dem Felsen sitzt und er dadurch einen Schiffsbruch erleidet.;0
Dann liefen zwei Barça in die Arena.;Dann liefen zwei Leoparden in die Arena.;1
Sie wollte das blutige Spektakel sehen, aber der weise Löwe unterwarf sich nicht und benahm sich sehr edel.;Man wollte das blutige Spektakel sehen, aber der weise Löwe unterwarf sich nicht und benahm sich sehr edel.;2
Man wollte das blutige Spektakel wissen, aber der weise Löwe unterwarf sich nicht und benahm sich sehr edel.;Man wollte das blutige Spektakel sehen, aber der weise Löwe unterwarf sich nicht und benahm sich sehr edel.;2
Er sah ihre Erschütterung, Herzlosigkeit, den Wunsch, die Gefühle des Verliebten zu spielen.;Er sah ihre Erschütterung, Herzlosigkeit, den Wunsch, mit den Gefühlen des Verliebten zu spielen.;1
Das Reimschema von Der Handschuh ist wechselnd (Schweifreim, Kreuz- und Paarreime).;Das Reimschema von Dem Handschuh ist wechselnd (Schweifreim, Kreuz- und Paarreime).;1
In dem Gedicht Waldgespräch von Josef von Eichendorff geht es hauptsächliche um das Labyrinthische und Mystische des Waldes.;In dem Gedicht Waldgespräch von Josef von Eichendorff geht es hauptsächlich um das Labyrinthische und Mystische des Waldes.;1
Inhaltlich geht es in dem Gedicht um die Hexe Lorelei und ein Mann, der nicht weiter benannt wird, welche ein Gespräch im Wald führen, bei dem zu Beginn der Mann der Hexe Hilfe anbietet, da er denk, sie habe sich verlaufen.;Inhaltlich geht es in dem Gedicht um die Hexe Lorelei und einen Mann, der nicht weiter benannt wird, welche ein Gespräch im Wald führen, bei dem zu Beginn der Mann der Hexe Hilfe anbietet, da er denk, sie habe sich verlaufen.;1
Die Handlung ist dynamisch auch (Es gibt viele ausrufe Sätzen).;Die Handlung ist dynamisch auch (Es gibt viele Ausrufesätze).;2
Die Handlung dieser Geschichte spielt im Mittelalter (Ritterzeit), im Frankreich.;Die Handlung dieser Geschichte spielt in Mittelalter (Ritterzeit), im Frankreich.;0
Die Zuschauer waren die Großen der Krone.;Die Zuschauer sind die Großen der Krone.;0
Sie haben großen Spaß, an den Kampf zwischen Löwen, Tigern und Leoparden zu beobachten.;Sie haben großen Spaß, den Kampf zwischen Löwen, Tigern und Leoparden zu beobachten.;1
Delorges steigt in die Arena, hebt den Handschuh, aber zurück, wirft der Ritter einen Handschuh seiner Auserwählten ins Gesicht.;Delorges steigt in die Arena, hebt den Handschuh, aber zurück, wirft der Ritter den Handschuh seiner Auserwählten ins Gesicht.;0
Er tritt mit mehrere Vorlesungen im Auslan vor d. Wo ist das Gastgeschenk?;Er tritt mit mehreren Vorlesungen im Auslan vor d. Wo ist das Gastgeschenk?;0
Er tritt mit mehreren Vorlesungen im Auslan d. Wo ist das Gastgeschenk?;Er tritt mit mehreren Vorlesungen im Auslan vor d. Wo ist das Gastgeschenk?;1
Er tritt mit mehreren Vorlesungen im Auslan vor d Wo ist das Gastgeschenk?;Er tritt mit mehreren Vorlesungen im Auslan vor d. Wo ist das Gastgeschenk?;0
